id,script_id,language,label,scenario,wake_variant,text,normalized_text,template_id,split_group,split,source_id,source_license
v4s_ko_1c90636075ab4a6b,v4s_ko_1c90636075ab4a6b,ko,positive,positive_wake,옥자야,"옥자야, 오늘 날씨 알려줘.",옥자야 오늘 날씨 알려줘,v4s_ko_1c90636075ab4a6b,v4s_ko_1c90636075ab4a6b,validation,okja_original_scripts,project-owned original text
v4s_ko_d5ab3db0e55b47f3,v4s_ko_d5ab3db0e55b47f3,ko,positive,positive_wake,옥자야,"옥자야, 불 좀 켜줘.",옥자야 불 좀 켜줘,v4s_ko_d5ab3db0e55b47f3,v4s_ko_d5ab3db0e55b47f3,validation,okja_original_scripts,project-owned original text
v4s_ko_34d9057099197fc6,v4s_ko_34d9057099197fc6,ko,positive,positive_wake,옥자야,"옥자야, 내 휴대폰 찾아줘.",옥자야 내 휴대폰 찾아줘,v4s_ko_34d9057099197fc6,v4s_ko_34d9057099197fc6,train,okja_original_scripts,project-owned original text
v4s_ko_21650a3a3c71497f,v4s_ko_21650a3a3c71497f,ko,positive,positive_wake,옥자야,"옥자야, 엄마한테 전화해줘.",옥자야 엄마한테 전화해줘,v4s_ko_21650a3a3c71497f,v4s_ko_21650a3a3c71497f,validation,okja_original_scripts,project-owned original text
v4s_ko_49808b66ac8b8623,v4s_ko_49808b66ac8b8623,ko,positive,positive_wake,옥자야,"옥자야, 음악 틀어줘.",옥자야 음악 틀어줘,v4s_ko_49808b66ac8b8623,v4s_ko_49808b66ac8b8623,train,okja_original_scripts,project-owned original text
v4s_ko_f683eff717fa3cac,v4s_ko_f683eff717fa3cac,ko,positive,positive_wake,옥자야,"옥자야, 내일 일정 알려줘.",옥자야 내일 일정 알려줘,v4s_ko_f683eff717fa3cac,v4s_ko_f683eff717fa3cac,train,okja_original_scripts,project-owned original text
v4s_ko_ae0b0af8e6455fce,v4s_ko_ae0b0af8e6455fce,ko,positive,positive_wake,옥자야,"옥자야, 타이머 맞춰줘.",옥자야 타이머 맞춰줘,v4s_ko_ae0b0af8e6455fce,v4s_ko_ae0b0af8e6455fce,train,okja_original_scripts,project-owned original text
v4s_ko_53fba1e8eb9b4551,v4s_ko_53fba1e8eb9b4551,ko,positive,positive_wake,옥자야,"옥자야, 거실 불 꺼줘.",옥자야 거실 불 꺼줘,v4s_ko_53fba1e8eb9b4551,v4s_ko_53fba1e8eb9b4551,train,okja_original_scripts,project-owned original text
v4s_ko_b66cfbfec5bbe817,v4s_ko_b66cfbfec5bbe817,ko,positive,positive_wake,옥자야,"옥자야, 오늘 비 와?",옥자야 오늘 비 와,v4s_ko_b66cfbfec5bbe817,v4s_ko_b66cfbfec5bbe817,validation,okja_original_scripts,project-owned original text
v4s_ko_ab776fa2a0d79e41,v4s_ko_ab776fa2a0d79e41,ko,positive,positive_wake,옥자야,"옥자야, 뉴스 알려줘.",옥자야 뉴스 알려줘,v4s_ko_ab776fa2a0d79e41,v4s_ko_ab776fa2a0d79e41,train,okja_original_scripts,project-owned original text
v4s_ko_19c31f07a4588199,v4s_ko_19c31f07a4588199,ko,positive,positive_wake,옥자야,"옥자야, 소리 조금 줄여줘.",옥자야 소리 조금 줄여줘,v4s_ko_19c31f07a4588199,v4s_ko_19c31f07a4588199,train,okja_original_scripts,project-owned original text
v4s_ko_b1a99bd761ab9456,v4s_ko_b1a99bd761ab9456,ko,positive,positive_wake,헤이 옥자,헤이 옥자,헤이 옥자,v4s_ko_b1a99bd761ab9456,v4s_ko_b1a99bd761ab9456,train,okja_original_scripts,project-owned original text
v4s_ko_41e0891b2de1443e,v4s_ko_41e0891b2de1443e,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 지금 몇 시야?",헤이 옥자 지금 몇 시야,v4s_ko_41e0891b2de1443e,v4s_ko_41e0891b2de1443e,train,okja_original_scripts,project-owned original text
v4s_ko_e94a8a57bb0b8fca,v4s_ko_e94a8a57bb0b8fca,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 오늘 날씨 알려줘.",헤이 옥자 오늘 날씨 알려줘,v4s_ko_e94a8a57bb0b8fca,v4s_ko_e94a8a57bb0b8fca,validation,okja_original_scripts,project-owned original text
v4s_ko_74ae5e0ac1aa1cf5,v4s_ko_74ae5e0ac1aa1cf5,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 불 좀 켜줘.",헤이 옥자 불 좀 켜줘,v4s_ko_74ae5e0ac1aa1cf5,v4s_ko_74ae5e0ac1aa1cf5,train,okja_original_scripts,project-owned original text
v4s_ko_51d7ef23d669fc24,v4s_ko_51d7ef23d669fc24,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 내 휴대폰 찾아줘.",헤이 옥자 내 휴대폰 찾아줘,v4s_ko_51d7ef23d669fc24,v4s_ko_51d7ef23d669fc24,train,okja_original_scripts,project-owned original text
v4s_ko_8fd908c8eb25721c,v4s_ko_8fd908c8eb25721c,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 엄마한테 전화해줘.",헤이 옥자 엄마한테 전화해줘,v4s_ko_8fd908c8eb25721c,v4s_ko_8fd908c8eb25721c,train,okja_original_scripts,project-owned original text
v4s_ko_86e0d5ee35879ed3,v4s_ko_86e0d5ee35879ed3,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 음악 틀어줘.",헤이 옥자 음악 틀어줘,v4s_ko_86e0d5ee35879ed3,v4s_ko_86e0d5ee35879ed3,train,okja_original_scripts,project-owned original text
v4s_ko_b9fa3c548abf44f2,v4s_ko_b9fa3c548abf44f2,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 내일 일정 알려줘.",헤이 옥자 내일 일정 알려줘,v4s_ko_b9fa3c548abf44f2,v4s_ko_b9fa3c548abf44f2,train,okja_original_scripts,project-owned original text
v4s_ko_0f7d0dc11cbf61ee,v4s_ko_0f7d0dc11cbf61ee,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 타이머 맞춰줘.",헤이 옥자 타이머 맞춰줘,v4s_ko_0f7d0dc11cbf61ee,v4s_ko_0f7d0dc11cbf61ee,train,okja_original_scripts,project-owned original text
v4s_ko_704bf5cd3790b189,v4s_ko_704bf5cd3790b189,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 거실 불 꺼줘.",헤이 옥자 거실 불 꺼줘,v4s_ko_704bf5cd3790b189,v4s_ko_704bf5cd3790b189,train,okja_original_scripts,project-owned original text
v4s_ko_6121bdf5bf963b48,v4s_ko_6121bdf5bf963b48,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 오늘 비 와?",헤이 옥자 오늘 비 와,v4s_ko_6121bdf5bf963b48,v4s_ko_6121bdf5bf963b48,train,okja_original_scripts,project-owned original text
v4s_ko_67c914b0a735333f,v4s_ko_67c914b0a735333f,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 뉴스 알려줘.",헤이 옥자 뉴스 알려줘,v4s_ko_67c914b0a735333f,v4s_ko_67c914b0a735333f,validation,okja_original_scripts,project-owned original text
v4s_ko_1ace6872e3f20e8a,v4s_ko_1ace6872e3f20e8a,ko,positive,positive_wake,헤이 옥자,"헤이 옥자, 소리 조금 줄여줘.",헤이 옥자 소리 조금 줄여줘,v4s_ko_1ace6872e3f20e8a,v4s_ko_1ace6872e3f20e8a,train,okja_original_scripts,project-owned original text
v4s_ko_e50000f180b9783b,v4s_ko_e50000f180b9783b,ko,positive,positive_wake,오케이 옥자,오케이 옥자,오케이 옥자,v4s_ko_e50000f180b9783b,v4s_ko_e50000f180b9783b,train,okja_original_scripts,project-owned original text
v4s_ko_be3754023570180a,v4s_ko_be3754023570180a,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 지금 몇 시야?",오케이 옥자 지금 몇 시야,v4s_ko_be3754023570180a,v4s_ko_be3754023570180a,train,okja_original_scripts,project-owned original text
v4s_ko_61d7028166a4ea7f,v4s_ko_61d7028166a4ea7f,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 오늘 날씨 알려줘.",오케이 옥자 오늘 날씨 알려줘,v4s_ko_61d7028166a4ea7f,v4s_ko_61d7028166a4ea7f,train,okja_original_scripts,project-owned original text
v4s_ko_5fca3bbeb4a1a5b8,v4s_ko_5fca3bbeb4a1a5b8,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 불 좀 켜줘.",오케이 옥자 불 좀 켜줘,v4s_ko_5fca3bbeb4a1a5b8,v4s_ko_5fca3bbeb4a1a5b8,validation,okja_original_scripts,project-owned original text
v4s_ko_e0c97886992de7a8,v4s_ko_e0c97886992de7a8,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 내 휴대폰 찾아줘.",오케이 옥자 내 휴대폰 찾아줘,v4s_ko_e0c97886992de7a8,v4s_ko_e0c97886992de7a8,train,okja_original_scripts,project-owned original text
v4s_ko_cb98eb9ed2ea9096,v4s_ko_cb98eb9ed2ea9096,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 엄마한테 전화해줘.",오케이 옥자 엄마한테 전화해줘,v4s_ko_cb98eb9ed2ea9096,v4s_ko_cb98eb9ed2ea9096,train,okja_original_scripts,project-owned original text
v4s_ko_453069e04b610725,v4s_ko_453069e04b610725,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 음악 틀어줘.",오케이 옥자 음악 틀어줘,v4s_ko_453069e04b610725,v4s_ko_453069e04b610725,train,okja_original_scripts,project-owned original text
v4s_ko_a025d5f30fed34ae,v4s_ko_a025d5f30fed34ae,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 내일 일정 알려줘.",오케이 옥자 내일 일정 알려줘,v4s_ko_a025d5f30fed34ae,v4s_ko_a025d5f30fed34ae,train,okja_original_scripts,project-owned original text
v4s_ko_2e3cfb21b94d12bc,v4s_ko_2e3cfb21b94d12bc,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 타이머 맞춰줘.",오케이 옥자 타이머 맞춰줘,v4s_ko_2e3cfb21b94d12bc,v4s_ko_2e3cfb21b94d12bc,train,okja_original_scripts,project-owned original text
v4s_ko_19e7e829bf227d0a,v4s_ko_19e7e829bf227d0a,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 거실 불 꺼줘.",오케이 옥자 거실 불 꺼줘,v4s_ko_19e7e829bf227d0a,v4s_ko_19e7e829bf227d0a,train,okja_original_scripts,project-owned original text
v4s_ko_9ee437c6a35b6afa,v4s_ko_9ee437c6a35b6afa,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 오늘 비 와?",오케이 옥자 오늘 비 와,v4s_ko_9ee437c6a35b6afa,v4s_ko_9ee437c6a35b6afa,train,okja_original_scripts,project-owned original text
v4s_ko_ea61f09f1e38557f,v4s_ko_ea61f09f1e38557f,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 뉴스 알려줘.",오케이 옥자 뉴스 알려줘,v4s_ko_ea61f09f1e38557f,v4s_ko_ea61f09f1e38557f,train,okja_original_scripts,project-owned original text
v4s_ko_fb5ebdb01b5ef757,v4s_ko_fb5ebdb01b5ef757,ko,positive,positive_wake,오케이 옥자,"오케이 옥자, 소리 조금 줄여줘.",오케이 옥자 소리 조금 줄여줘,v4s_ko_fb5ebdb01b5ef757,v4s_ko_fb5ebdb01b5ef757,validation,okja_original_scripts,project-owned original text
v4s_en_443e3444bdcb445a,v4s_en_443e3444bdcb445a,en,positive,positive_wake,Okja,Okja,okja,v4s_en_443e3444bdcb445a,v4s_en_443e3444bdcb445a,train,okja_original_scripts,project-owned original text
v4s_en_19b0cb9c85071a46,v4s_en_19b0cb9c85071a46,en,positive,positive_wake,Okja,"Okja, what time is it?",okja what time is it,v4s_en_19b0cb9c85071a46,v4s_en_19b0cb9c85071a46,validation,okja_original_scripts,project-owned original text
v4s_en_9da63ca37a4ff31e,v4s_en_9da63ca37a4ff31e,en,positive,positive_wake,Okja,"Okja, what is the weather today?",okja what is the weather today,v4s_en_9da63ca37a4ff31e,v4s_en_9da63ca37a4ff31e,train,okja_original_scripts,project-owned original text
v4s_en_e81056e38426b5cd,v4s_en_e81056e38426b5cd,en,positive,positive_wake,Okja,"Okja, turn on the light.",okja turn on the light,v4s_en_e81056e38426b5cd,v4s_en_e81056e38426b5cd,train,okja_original_scripts,project-owned original text
v4s_en_7e81c275dcafdb33,v4s_en_7e81c275dcafdb33,en,positive,positive_wake,Okja,"Okja, find my phone.",okja find my phone,v4s_en_7e81c275dcafdb33,v4s_en_7e81c275dcafdb33,train,okja_original_scripts,project-owned original text
v4s_en_6a1721e8075549b5,v4s_en_6a1721e8075549b5,en,positive,positive_wake,Okja,"Okja, call Mom.",okja call mom,v4s_en_6a1721e8075549b5,v4s_en_6a1721e8075549b5,train,okja_original_scripts,project-owned original text
v4s_en_bf88a74840cd32ac,v4s_en_bf88a74840cd32ac,en,positive,positive_wake,Okja,"Okja, play some music.",okja play some music,v4s_en_bf88a74840cd32ac,v4s_en_bf88a74840cd32ac,validation,okja_original_scripts,project-owned original text
v4s_en_28dcab356b8cfc62,v4s_en_28dcab356b8cfc62,en,positive,positive_wake,Okja,"Okja, what is on my schedule tomorrow?",okja what is on my schedule tomorrow,v4s_en_28dcab356b8cfc62,v4s_en_28dcab356b8cfc62,train,okja_original_scripts,project-owned original text
v4s_en_98b2368159c6facf,v4s_en_98b2368159c6facf,en,positive,positive_wake,Okja,"Okja, set a timer.",okja set a timer,v4s_en_98b2368159c6facf,v4s_en_98b2368159c6facf,train,okja_original_scripts,project-owned original text
v4s_en_1ed175eafc38727e,v4s_en_1ed175eafc38727e,en,positive,positive_wake,Okja,"Okja, turn off the living room light.",okja turn off the living room light,v4s_en_1ed175eafc38727e,v4s_en_1ed175eafc38727e,train,okja_original_scripts,project-owned original text
v4s_en_5e6f693e3ca598c4,v4s_en_5e6f693e3ca598c4,en,positive,positive_wake,Okja,"Okja, is it going to rain today?",okja is it going to rain today,v4s_en_5e6f693e3ca598c4,v4s_en_5e6f693e3ca598c4,train,okja_original_scripts,project-owned original text
v4s_en_40bd470ce3f3766a,v4s_en_40bd470ce3f3766a,en,positive,positive_wake,Hey Okja,Hey Okja,hey okja,v4s_en_40bd470ce3f3766a,v4s_en_40bd470ce3f3766a,train,okja_original_scripts,project-owned original text
v4s_en_8ea7f29a279aa303,v4s_en_8ea7f29a279aa303,en,positive,positive_wake,Hey Okja,"Hey Okja, what time is it?",hey okja what time is it,v4s_en_8ea7f29a279aa303,v4s_en_8ea7f29a279aa303,train,okja_original_scripts,project-owned original text
v4s_en_a8f8b7dd1be6fa08,v4s_en_a8f8b7dd1be6fa08,en,positive,positive_wake,Hey Okja,"Hey Okja, what is the weather today?",hey okja what is the weather today,v4s_en_a8f8b7dd1be6fa08,v4s_en_a8f8b7dd1be6fa08,train,okja_original_scripts,project-owned original text
v4s_en_5640574896d340d2,v4s_en_5640574896d340d2,en,positive,positive_wake,Hey Okja,"Hey Okja, turn on the light.",hey okja turn on the light,v4s_en_5640574896d340d2,v4s_en_5640574896d340d2,train,okja_original_scripts,project-owned original text
v4s_en_ef2a51d404982b5d,v4s_en_ef2a51d404982b5d,en,positive,positive_wake,Hey Okja,"Hey Okja, find my phone.",hey okja find my phone,v4s_en_ef2a51d404982b5d,v4s_en_ef2a51d404982b5d,validation,okja_original_scripts,project-owned original text
v4s_en_d3c7184e8cf079ef,v4s_en_d3c7184e8cf079ef,en,positive,positive_wake,Hey Okja,"Hey Okja, call Mom.",hey okja call mom,v4s_en_d3c7184e8cf079ef,v4s_en_d3c7184e8cf079ef,validation,okja_original_scripts,project-owned original text
v4s_en_07afbcb2fc86387c,v4s_en_07afbcb2fc86387c,en,positive,positive_wake,Hey Okja,"Hey Okja, play some music.",hey okja play some music,v4s_en_07afbcb2fc86387c,v4s_en_07afbcb2fc86387c,validation,okja_original_scripts,project-owned original text
v4s_en_c97ffa5d841ff9ae,v4s_en_c97ffa5d841ff9ae,en,positive,positive_wake,Hey Okja,"Hey Okja, what is on my schedule tomorrow?",hey okja what is on my schedule tomorrow,v4s_en_c97ffa5d841ff9ae,v4s_en_c97ffa5d841ff9ae,train,okja_original_scripts,project-owned original text
v4s_en_01dbb6ef5e633aec,v4s_en_01dbb6ef5e633aec,en,positive,positive_wake,Hey Okja,"Hey Okja, set a timer.",hey okja set a timer,v4s_en_01dbb6ef5e633aec,v4s_en_01dbb6ef5e633aec,validation,okja_original_scripts,project-owned original text
v4s_en_b4273f84047365f2,v4s_en_b4273f84047365f2,en,positive,positive_wake,Hey Okja,"Hey Okja, turn off the living room light.",hey okja turn off the living room light,v4s_en_b4273f84047365f2,v4s_en_b4273f84047365f2,validation,okja_original_scripts,project-owned original text
v4s_en_16d46cfdb76ba26c,v4s_en_16d46cfdb76ba26c,en,positive,positive_wake,Hey Okja,"Hey Okja, is it going to rain today?",hey okja is it going to rain today,v4s_en_16d46cfdb76ba26c,v4s_en_16d46cfdb76ba26c,validation,okja_original_scripts,project-owned original text
v4s_en_66efa3305679b0ec,v4s_en_66efa3305679b0ec,en,positive,positive_wake,Okay Okja,Okay Okja,okay okja,v4s_en_66efa3305679b0ec,v4s_en_66efa3305679b0ec,validation,okja_original_scripts,project-owned original text
v4s_en_956808106ed5af8d,v4s_en_956808106ed5af8d,en,positive,positive_wake,Okay Okja,"Okay Okja, what time is it?",okay okja what time is it,v4s_en_956808106ed5af8d,v4s_en_956808106ed5af8d,train,okja_original_scripts,project-owned original text
v4s_en_b9a5ce7acf4e7255,v4s_en_b9a5ce7acf4e7255,en,positive,positive_wake,Okay Okja,"Okay Okja, what is the weather today?",okay okja what is the weather today,v4s_en_b9a5ce7acf4e7255,v4s_en_b9a5ce7acf4e7255,train,okja_original_scripts,project-owned original text
v4s_en_6d2d215a5920a5b5,v4s_en_6d2d215a5920a5b5,en,positive,positive_wake,Okay Okja,"Okay Okja, turn on the light.",okay okja turn on the light,v4s_en_6d2d215a5920a5b5,v4s_en_6d2d215a5920a5b5,validation,okja_original_scripts,project-owned original text
v4s_en_6dbf6b8e944cfaed,v4s_en_6dbf6b8e944cfaed,en,positive,positive_wake,Okay Okja,"Okay Okja, find my phone.",okay okja find my phone,v4s_en_6dbf6b8e944cfaed,v4s_en_6dbf6b8e944cfaed,train,okja_original_scripts,project-owned original text
v4s_en_f78f6fc361d07458,v4s_en_f78f6fc361d07458,en,positive,positive_wake,Okay Okja,"Okay Okja, call Mom.",okay okja call mom,v4s_en_f78f6fc361d07458,v4s_en_f78f6fc361d07458,validation,okja_original_scripts,project-owned original text
v4s_en_7a35fb140e6efd4c,v4s_en_7a35fb140e6efd4c,en,positive,positive_wake,Okay Okja,"Okay Okja, play some music.",okay okja play some music,v4s_en_7a35fb140e6efd4c,v4s_en_7a35fb140e6efd4c,train,okja_original_scripts,project-owned original text
v4s_en_f5e6de27d2127698,v4s_en_f5e6de27d2127698,en,positive,positive_wake,Okay Okja,"Okay Okja, what is on my schedule tomorrow?",okay okja what is on my schedule tomorrow,v4s_en_f5e6de27d2127698,v4s_en_f5e6de27d2127698,train,okja_original_scripts,project-owned original text
v4s_en_529faddd292d36ab,v4s_en_529faddd292d36ab,en,positive,positive_wake,Okay Okja,"Okay Okja, set a timer.",okay okja set a timer,v4s_en_529faddd292d36ab,v4s_en_529faddd292d36ab,validation,okja_original_scripts,project-owned original text
v4s_en_bc738d3a592027cf,v4s_en_bc738d3a592027cf,en,positive,positive_wake,Okay Okja,"Okay Okja, turn off the living room light.",okay okja turn off the living room light,v4s_en_bc738d3a592027cf,v4s_en_bc738d3a592027cf,train,okja_original_scripts,project-owned original text
v4s_en_d2838cf15f3fb40a,v4s_en_d2838cf15f3fb40a,en,positive,positive_wake,Okay Okja,"Okay Okja, is it going to rain today?",okay okja is it going to rain today,v4s_en_d2838cf15f3fb40a,v4s_en_d2838cf15f3fb40a,train,okja_original_scripts,project-owned original text
v4s_ko_f52f1b275bef5d3b,v4s_ko_f52f1b275bef5d3b,ko,negative,ordinary_negative,,점심에 그 사람 이름이 뭐였지?,점심에 그 사람 이름이 뭐였지,v4s_ko_f52f1b275bef5d3b,v4s_ko_f52f1b275bef5d3b,validation,okja_original_scripts,project-owned original text
v4s_ko_eeef98b20bea05ae,v4s_ko_eeef98b20bea05ae,ko,negative,ordinary_negative,,텔레비전 보다가 커피 한 잔 마실래?,텔레비전 보다가 커피 한 잔 마실래,v4s_ko_eeef98b20bea05ae,v4s_ko_eeef98b20bea05ae,train,okja_original_scripts,project-owned original text
v4s_ko_ea2cfe0d137409b2,v4s_ko_ea2cfe0d137409b2,ko,negative,ordinary_negative,,내일 이거 어디에서 샀어?,내일 이거 어디에서 샀어,v4s_ko_ea2cfe0d137409b2,v4s_ko_ea2cfe0d137409b2,train,okja_original_scripts,project-owned original text
v4s_ko_13ef064776c85e5d,v4s_ko_13ef064776c85e5d,ko,negative,ordinary_negative,,저녁에 창문 좀 닫아줘.,저녁에 창문 좀 닫아줘,v4s_ko_13ef064776c85e5d,v4s_ko_13ef064776c85e5d,train,okja_original_scripts,project-owned original text
v4s_ko_635504d9cd5c8d82,v4s_ko_635504d9cd5c8d82,ko,negative,ordinary_negative,,전화 끝나고 오늘은 집에서 쉬고 싶어.,전화 끝나고 오늘은 집에서 쉬고 싶어,v4s_ko_635504d9cd5c8d82,v4s_ko_635504d9cd5c8d82,train,okja_original_scripts,project-owned original text
v4s_ko_798339720fc6ef74,v4s_ko_798339720fc6ef74,ko,negative,ordinary_negative,,주말에 창문 좀 닫아줘.,주말에 창문 좀 닫아줘,v4s_ko_798339720fc6ef74,v4s_ko_798339720fc6ef74,train,okja_original_scripts,project-owned original text
v4s_ko_cd5255af1ddae10d,v4s_ko_cd5255af1ddae10d,ko,negative,ordinary_negative,,밖에 나가기 전에 그 사람 이름이 뭐였지?,밖에 나가기 전에 그 사람 이름이 뭐였지,v4s_ko_cd5255af1ddae10d,v4s_ko_cd5255af1ddae10d,train,okja_original_scripts,project-owned original text
v4s_ko_3ae11a20919d6b70,v4s_ko_3ae11a20919d6b70,ko,negative,ordinary_negative,,밥 먹고 그 사람 이름이 뭐였지?,밥 먹고 그 사람 이름이 뭐였지,v4s_ko_3ae11a20919d6b70,v4s_ko_3ae11a20919d6b70,train,okja_original_scripts,project-owned original text
v4s_ko_8a75c4a39e4f37c7,v4s_ko_8a75c4a39e4f37c7,ko,negative,ordinary_negative,,텔레비전 보다가 전화가 계속 오네.,텔레비전 보다가 전화가 계속 오네,v4s_ko_8a75c4a39e4f37c7,v4s_ko_8a75c4a39e4f37c7,train,okja_original_scripts,project-owned original text
v4s_ko_f55924c0c8bc8611,v4s_ko_f55924c0c8bc8611,ko,negative,ordinary_negative,,전화 끝나고 소리가 너무 큰 것 같아.,전화 끝나고 소리가 너무 큰 것 같아,v4s_ko_f55924c0c8bc8611,v4s_ko_f55924c0c8bc8611,train,okja_original_scripts,project-owned original text
v4s_ko_e593952a787ce1f9,v4s_ko_e593952a787ce1f9,ko,negative,ordinary_negative,,밥 먹고 조금 있다가 다시 이야기하자.,밥 먹고 조금 있다가 다시 이야기하자,v4s_ko_e593952a787ce1f9,v4s_ko_e593952a787ce1f9,validation,okja_original_scripts,project-owned original text
v4s_ko_379b7cbfc8e9f0fa,v4s_ko_379b7cbfc8e9f0fa,ko,negative,ordinary_negative,,주말에 비가 오는 것 같아.,주말에 비가 오는 것 같아,v4s_ko_379b7cbfc8e9f0fa,v4s_ko_379b7cbfc8e9f0fa,train,okja_original_scripts,project-owned original text
